Date,PORTFOLIO
8/12/19,9.23725E-05
8/13/19,-6.15274E-05
8/14/19,9.22098E-05
8/15/19,0.00012304
8/16/19,-3.0359E-05
8/19/19,-9.23611E-05
8/20/19,9.23611E-05
8/21/19,-6.15198E-05
8/22/19,-3.08412E-05
8/23/19,9.25209E-05
8/26/19,0
8/27/19,6.13563E-05
8/28/19,0
8/29/19,-3.06777E-05
8/30/19,3.22754E-05
9/2/19,0
9/3/19,0.000146664
9/4/19,0.000176352
9/5/19,-7.34763E-05
9/6/19,3.45026E-05
9/9/19,-0.000156389
9/10/19,-0.00020355
9/11/19,7.49382E-05
9/12/19,4.95307E-06
9/13/19,-0.000219876
9/16/19,0.000107547
9/17/19,0.000131662
9/18/19,3.515E-06
9/19/19,4.2179E-05
9/20/19,4.32956E-05
9/23/19,7.82815E-06
9/24/19,-8.72314E-05
9/25/19,-6.8702E-06
9/26/19,8.57942E-05
9/27/19,-2.01298E-05
9/30/19,7.98779E-05
10/1/19,-7.68424E-05
10/2/19,-9.17074E-05
10/3/19,0.000251776
10/4/19,0.000152536
10/7/19,-8.03382E-05
10/8/19,-0.000169163
10/9/19,5.30361E-05
10/10/19,-4.18536E-05
10/11/19,-2.49213E-05
10/14/19,1.85313E-05
10/15/19,4.53682E-05
10/16/19,2.26833E-05
10/17/19,1.62933E-05
10/18/19,1.96475E-05
10/21/19,5.51068E-05
10/22/19,-5.30302E-05
10/23/19,4.12105E-05
10/24/19,7.10761E-05
10/25/19,-0.000114363
10/28/19,-2.87522E-06
10/29/19,4.47247E-05
10/30/19,0.000161951
10/31/19,8.89498E-05
11/1/19,1.18168E-05
11/4/19,-0.000100767
11/5/19,-0.000256514
11/6/19,8.78546E-05
11/7/19,-0.000229716
11/8/19,-2.87578E-06
11/11/19,2.9716E-05
11/12/19,-4.2018E-05
11/13/19,0.000142662
11/14/19,0.000147913
11/15/19,9.11967E-05
11/18/19,7.5219E-05
11/19/19,3.96035E-05
11/20/19,1.43718E-05
11/21/19,-0.002583734
11/22/19,-4.0666E-05
11/25/19,0.000179943
11/26/19,0.000209999
11/27/19,5.60136E-05
11/29/19,-1.76039E-05
12/2/19,-0.000413621
12/3/19,2.94586E-05
12/4/19,0.000203625
12/5/19,-3.47349E-05
12/6/19,0.000284727
12/9/19,-0.000209976
12/10/19,-1.93674E-05
12/11/19,0.00012196
12/12/19,7.84181E-05
12/13/19,0.000128016
12/16/19,0.000204792
12/17/19,-0.00011855
12/18/19,3.63185E-05
12/19/19,0.00019149
12/20/19,0.000173222
12/23/19,9.94729E-05
12/24/19,0.000102341
12/26/19,0.000172517
12/27/19,-4.95606E-06
12/30/19,-0.000201141
12/31/19,0.000137989
1/2/20,0.000771778
1/3/20,-0.000196684
1/6/20,0.000278637
1/7/20,-0.000808166
1/8/20,0.001106369
1/9/20,0.000590712
1/10/20,-4.16577E-05
1/13/20,0.000674291
1/14/20,-0.000102566
1/15/20,0.000494231
1/16/20,0.000782711
1/17/20,0.000254874
1/21/20,0.000152416
1/22/20,0.000142202
1/23/20,0.000441923
1/24/20,-0.000787828
1/27/20,-0.001491535
1/28/20,0.001474651
1/29/20,0.000226003
1/30/20,0.000862768
1/31/20,-0.002740666
2/3/20,0.001368802
2/4/20,0.001858474
2/5/20,0.000964567
2/6/20,0.000812832
2/7/20,-0.000378064
2/10/20,0.001601308
2/11/20,-3.56766E-05
2/12/20,0.000749733
2/13/20,0.000350581
2/14/20,0.000706175
2/18/20,0.000182796
2/19/20,0.00069084
2/20/20,-0.000976839
2/21/20,-0.001230713
2/24/20,-0.007054352
2/25/20,-0.004236297
2/26/20,-0.002442435
2/27/20,-0.009393914
2/28/20,0.002603788
3/2/20,0.007469098
3/3/20,-0.003817998
3/4/20,0.006207838
3/5/20,-0.004181351
3/6/20,-0.000919421
3/9/20,-0.010468498
3/10/20,0.002080761
3/11/20,-0.009392957
3/12/20,-0.020881841
3/13/20,0.015408287
3/16/20,-0.019748694
3/17/20,0.003532087
3/18/20,-0.006944287
3/19/20,-0.002473902
3/20/20,-0.004056913
3/23/20,-0.000856823
3/24/20,0.013951816
3/25/20,0.003117018
3/26/20,0.011125277
3/27/20,-0.004115958
3/30/20,0.004908204
3/31/20,-0.005157532
4/1/20,-0.007075232
4/2/20,0.00257682
4/3/20,-0.001923893
4/6/20,0.010735889
4/7/20,0.000191441
4/8/20,0.004941154
4/9/20,0.003536429
4/13/20,-0.002147666
4/14/20,0.004375702
4/15/20,-0.003154902
4/16/20,0.004396161
4/17/20,0.000502369
4/20/20,-0.002508487
4/21/20,-0.003648429
4/22/20,0.002261235
4/23/20,0.000170128
4/24/20,0.002371402
4/27/20,0.001399823
4/28/20,0.001173387
4/29/20,0.004601341
4/30/20,-0.003993508
5/1/20,-0.003434416
5/4/20,5.86522E-05
5/5/20,0.001069186
5/6/20,-0.002958076
5/7/20,0.00375889
5/8/20,0.00221834
5/11/20,-0.001551947
5/12/20,-0.004204012
5/13/20,-0.003098493
5/14/20,0.003516844
5/15/20,0.000724052
5/18/20,0.005409518
5/19/20,-0.001441785
5/20/20,0.003625554
5/21/20,-0.001076917
5/22/20,0.000923281
5/26/20,0.001777447
5/27/20,0.002918591
5/28/20,-0.001057807
5/29/20,0.001925901
6/1/20,0.000619698
6/2/20,0.00272376
6/3/20,0.002571856
6/4/20,-0.002359774
6/5/20,0.005898217
6/8/20,0.0038618
6/9/20,-0.000518687
6/10/20,-0.000598169
6/11/20,-0.012328756
6/12/20,0.001821945
6/15/20,0.003684995
6/16/20,0.002779348
6/17/20,-0.00102491
6/18/20,0.001354848
6/19/20,-0.00276335
6/22/20,0.002874691
6/23/20,3.55115E-05
6/24/20,-0.005501534
6/25/20,0.002781577
6/26/20,-0.005486401
6/29/20,0.003769026
6/30/20,0.003471994
7/1/20,0.003017103
7/2/20,0.001608425
7/6/20,0.005451973
7/7/20,-0.001691441
7/8/20,0.002447396
7/9/20,0.000356151
7/10/20,0.003656312
7/13/20,-0.003333209
7/14/20,0.002975833
7/15/20,0.0020677
7/16/20,-0.001250104
7/17/20,0.000460481
7/20/20,0.003909083
7/21/20,-0.000726831
7/22/20,0.002414659
7/23/20,-0.003614741
7/24/20,-0.002063815
7/27/20,0.002781459
7/28/20,-0.000804476
7/29/20,0.003360472
7/30/20,0.000313986
7/31/20,0.00167658
8/3/20,0.001731882
8/4/20,0.003051704
8/5/20,0.00016412
8/6/20,0.004185434
8/7/20,-0.001127525
8/10/20,0.001815159
8/11/20,-0.00536988
8/12/20,0.004534838
8/13/20,-0.001026239
8/14/20,-0.000559011
8/17/20,0.002646923
8/18/20,0.002027464
8/19/20,-0.002628444
8/20/20,0.003947247
8/21/20,0.001789914
8/24/20,0.002866611
